Reference,Data.source,Region,Seamounts,Measurement,Phylum,Class,Order,Family,Taxon,Recovery.potential,time.since.TC,Type.n,n.TC,n.TA,n.NT,m.TC,m.TA,m.NT,s.TC,s.TA,s.NT,pre.S.TA,pre.S.NT,S.pooled.TA,S.pooled.NT,d.TA,d.NT,df.TA,df.NT,J.TA,J.NT,g.TA,g.NT,TA.Vd,NT.Vd,TA.Vg,NT.Vg,se.TA,se.NT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Actinaria/Ceriantharia,,Anemones,High,0,number of images,35,32,13,0.14047619,0.592633929,0.923076923,0.407633168,1.309606667,2.782730627,0.904873253,0.570226927,0.95124826,0.755133715,-0.475330949,-1.036373714,65,46,0.988416988,0.983606557,-0.469825185,-1.019383981,0.061507544,0.11668274,0.060090911,0.112888434,0.480463573,0.658537932,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Actinaria/Ceriantharia,,Anemones,High,5,number of images,330,199,90,1.283251032,0.825649131,1.501911231,3.713757657,3.594964116,3.368810293,13.46579227,13.60713379,3.669576579,3.688784866,0.124701554,-0.059277027,527,418,0.998576175,0.998204668,0.124524,-0.059170605,0.008070127,0.014145597,0.008047162,0.014094851,0.175823713,0.232694603,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Actinaria/Ceriantharia,,Anemones,High,8,number of images,375,234,220,0.826011242,0.551975726,2.281085533,2.28943007,2.133826947,4.889168635,4.977293147,4.987305052,2.230984793,2.233227497,0.122831638,-0.651556679,607,593,0.998763906,0.998734711,0.122679807,-0.650732271,0.006952558,0.007568866,0.006935381,0.007549724,0.163226709,0.170302734,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Actinaria/Ceriantharia,,Anemones,High,10,number of images,196,222,95,0.041408827,0.050816141,0.024143214,0.31687105,0.257545831,0.106456979,0.08230364,0.089323261,0.28688611,0.298869974,-0.03279111,0.057769648,416,289,0.998196031,0.997402597,-0.032731956,0.057619597,0.009607832,0.015634091,0.009573198,0.01555298,0.191771736,0.244434713,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Actinaria/Ceriantharia,,Anemones,High,15,number of images,270,343,347,2.467848675,0.715085396,3.074039055,6.120296595,2.284354979,5.599549338,19.41221136,19.3198931,4.405929115,4.395440034,0.397819219,-0.137913468,611,615,0.998772002,0.998779992,0.397330698,-0.137745213,0.006748242,0.006600961,0.006731679,0.006584865,0.160811743,0.159048473,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alyconacea,Alcyoniidae,Anthomastus,Medium,0,number of images,107,131,52,0.063120154,0.113649838,0,0.433435161,0.726939158,0,0.375470636,0.29849852,0.612756588,0.546350181,-0.082462898,0.115530581,236,157,0.996818664,0.995215311,-0.082200556,0.114977803,0.016993668,0.028618536,0.016885715,0.02834533,0.25469229,0.329986999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alyconacea,Alcyoniidae,Anthomastus,Medium,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alyconacea,Alcyoniidae,Anthomastus,Medium,5,number of images,330,199,90,0.009017844,0.279329299,0.369275356,0.115869703,0.946260238,0.988336181,0.344796879,0.201216352,0.587194072,0.448571457,-0.460344319,-0.80312179,527,418,0.998576175,0.998204668,-0.459688869,-0.80167992,0.008255728,0.014909277,0.008232235,0.014855791,0.177834068,0.238893293,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alyconacea,Alcyoniidae,Anthomastus,Medium,8,number of images,375,234,220,0.006379585,0.611674395,0.304533999,0.123540139,2.556437809,1.342906267,2.518039959,2.423195641,1.586833312,1.556661698,-0.381448262,-0.191534496,607,593,0.998763906,0.998734711,-0.380976756,-0.19129215,0.007059631,0.007242949,0.007042189,0.007224632,0.164478797,0.166595758,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Alyconacea,Alcyoniidae,Anthomastus,Medium,10,number of images,196,222,95,0.092507181,0.105984109,0.00245942,0.363057138,0.329689032,0.023971457,0.119530308,0.124291907,0.345731555,0.352550574,-0.038980903,0.255417997,416,289,0.998196031,0.997402597,-0.038910583,0.254754574,0.009608363,0.01574045,0.009573728,0.015658788,0.191777039,0.245264752,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alyconacea,Alcyoniidae,Anthomastus,Medium,15,number of images,270,343,347,0.012345679,0.404654136,0.661400659,0.202860206,1.476745972,1.956062123,1.238782754,1.244909557,1.113006179,1.115755151,-0.352476441,-0.581718112,611,615,0.998772002,0.998779992,-0.352043601,-0.581008411,0.006720493,0.006859775,0.006703998,0.006843047,0.160480769,0.162136517,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Antipatharia,,Antipatharia,Medium,0,number of images,107,131,52,0.004450378,0,0.005417118,0.046035071,0,0.039063394,0.000951857,0.001430816,0.030852172,0.037826131,0.144248458,-0.025557459,236,157,0.996818664,0.995215311,0.143789555,-0.025435175,0.017023096,0.028578618,0.016914956,0.028305792,0.254912717,0.329756777,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Antipatharia,,Antipatharia,Medium,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Antipatharia,,Antipatharia,Medium,5,number of images,330,199,90,0.001893939,0.042544334,0.016391972,0.034405118,0.293034552,0.12596119,0.033001048,0.019214843,0.181661907,0.138617615,-0.223769502,-0.10459012,527,418,0.998576175,0.998204668,-0.223450893,-0.104402346,0.008102756,0.014154437,0.008079699,0.014103659,0.176178806,0.232767298,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Antipatharia,,Antipatharia,Medium,8,number of images,375,234,220,0.002302821,0.050198577,0.008031233,0.044593936,0.35806248,0.084774782,0.050438846,0.048602795,0.224585945,0.220460416,-0.213262483,-0.025983856,607,593,0.998763906,0.998734711,-0.212998871,-0.025950979,0.006977512,0.007212689,0.006960273,0.007194448,0.163519365,0.166247379,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Antipatharia,,Antipatharia,Medium,10,number of images,196,222,95,0.002640923,0.001100541,0.007187103,0.022133165,0.011582173,0.041884055,0.000300895,0.000374172,0.017346334,0.019343535,0.08880163,-0.235023182,416,289,0.998196031,0.997402597,0.088641434,-0.234412732,0.009615978,0.015723264,0.009581315,0.01564169,0.19185302,0.245130818,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Antipatharia,,Antipatharia,Medium,15,number of images,270,343,347,0.011644919,0.006656283,0,0.135357707,0.123276084,0,0.016572686,0.016563739,0.128734945,0.128700189,0.038751216,0.090480975,611,615,0.998772002,0.998779992,0.03870363,0.090370587,0.00662038,0.006592182,0.006604131,0.006576107,0.159280975,0.158942674,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baco et al. 2019,Supplementary material,Hawaii,Emperor/NWHR,ind/transect (std to mean no. images per transect),Cnidaria,Anthozoa,Antipatharia,,Antipatharia,Medium,30,number of transects,52,46,NA,1.025087001,43.12602525,NA,2.626920924,119.7172852,NA,6721.89806,#VALUE!,81.98718229,#VALUE!,-0.513506344,#VALUE!,96,#VALUE!,0.992167102,#VALUE!,-0.509484101,#VALUE!,0.042315251,#VALUE!,0.041654945,#VALUE!,0.400027043,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Tunicata,Ascidacea,,,Ascidians,High,0,number of images,107,131,52,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,236,157,0.996818664,0.995215311,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Tunicata,Ascidacea,,,Ascidians,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Tunicata,Ascidacea,,,Ascidians,High,5,number of images,330,199,90,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Tunicata,Ascidacea,,,Ascidians,High,8,number of images,375,234,220,0.13501564,0.07023862,0.007550589,0.69588268,0.410893572,0.111993333,0.363177469,0.36776569,0.602642073,0.60643688,0.10748838,0.210186839,607,593,0.998763906,0.998734711,0.107355515,0.209920892,0.006949657,0.007249246,0.006932487,0.007230913,0.163192648,0.166668158,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Tunicata,Ascidacea,,,Ascidians,High,10,number of images,196,222,95,0.012662133,0.000624758,0,0.108262013,0.009308683,0,0.005540095,0.00793659,0.074431812,0.089087544,0.16172353,0.142131356,416,289,0.998196031,0.997402597,0.161431786,0.141762183,0.009637831,0.015663067,0.009603089,0.015581806,0.192070893,0.244661124,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Tunicata,Ascidacea,,,Ascidians,High,15,number of images,270,343,347,17.81398734,7.47682397,2.438177263,35.7575453,21.75344277,8.540267186,827.7946768,825.4884498,28.77142118,28.73131479,0.35928581,0.535158596,611,615,0.998772002,0.998779992,0.358844608,0.534505698,0.006724446,0.006817635,0.006707941,0.00680101,0.160527962,0.161637738,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Asteroidea,,,Asteroids,High,0,number of images,107,131,52,0.025027513,0.045580426,0,0.107332704,0.134555129,0,0.015147515,0.013659312,0.123075241,0.11687306,-0.166994698,0.214142705,236,157,0.996818664,0.995215311,-0.166463431,0.213118098,0.017037969,0.028720768,0.016929734,0.028446586,0.255024052,0.330575868,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Asteroidea,,,Asteroids,High,0,number of images,35,32,13,0.080952381,0.071614583,0.153846154,0.362389105,0.311307649,0.554700196,0.114913314,0.122348452,0.338988663,0.349783436,0.027546047,-0.208396869,65,46,0.988416988,0.983606557,0.027226981,-0.204980527,0.059827091,0.105946894,0.058449162,0.102501698,0.473854726,0.627511372,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Asteroidea,,,Asteroids,High,5,number of images,330,199,90,0.075749826,0.020108767,0.207676445,0.336193471,0.147055719,0.519333654,0.078685762,0.093565142,0.280509825,0.305884198,0.1983569,-0.431295959,527,418,0.998576175,0.998204668,0.198074474,-0.430521639,0.008092617,0.014362862,0.008069589,0.014311336,0.176068543,0.234474793,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Asteroidea,,,Asteroids,High,8,number of images,375,234,220,0.115996732,0.116453644,0.202692523,0.469308863,0.544630546,0.519563714,0.24956644,0.248455506,0.499566252,0.498453114,-0.000914617,-0.173929682,607,593,0.998763906,0.998734711,-0.000913486,-0.17370961,0.006940172,0.007237543,0.006923025,0.007219239,0.163081244,0.166533567,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Echinodermata,Asteroidea,,,Asteroids,High,10,number of images,196,222,95,0.042393132,0.051802434,0.041106902,0.15555912,0.189246274,0.15964239,0.030369381,0.027976696,0.174268129,0.167262356,-0.053993246,0.007689895,416,289,0.998196031,0.997402597,-0.053895844,0.007669921,0.009610032,0.015628458,0.009575391,0.015547377,0.1917937,0.244390677,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Echinodermata,Asteroidea,,,Asteroids,High,15,number of images,270,343,347,0.168475417,0.149107562,0.432632579,0.624972156,0.580530638,1.031255027,0.360602576,0.360449166,0.600501937,0.600374188,0.032252776,-0.439987541,611,615,0.998772002,0.998779992,0.03221317,-0.439450752,0.006620004,0.006742427,0.006603755,0.006725986,0.159276447,0.160743731,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Maxillopoda,,,Barnacles,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Maxillopoda,,,Barnacles,High,5,number of images,330,199,90,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Maxillopoda,,,Barnacles,High,8,number of images,375,234,220,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Maxillopoda,,,Barnacles,High,15,number of images,270,343,347,0.005430651,0,0.0406291,0.089234695,0,0.673842946,0.003505731,0.003482929,0.059209212,0.059016347,0.091719691,-0.596418643,611,615,0.998772002,0.998779992,0.091607059,-0.595691007,0.006626017,0.00687381,0.006609754,0.006857048,0.15934877,0.162302297,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Bivalvia,,,Bivalves,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Bivalvia,,,Bivalves,High,5,number of images,330,199,90,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,527,418,0.998576175,0.998204668,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Bivalvia,,,Bivalves,High,8,number of images,375,234,220,0,0.007243228,0,0,0.110800076,0,0.004712456,0.004533875,0.068647334,0.067334055,-0.105513604,0,607,593,0.998763906,0.998734711,-0.105383179,0,0.006949311,0.007212121,0.006932142,0.007193882,0.163188593,0.16624084,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Mollusca,Bivalvia,,,Bivalves,High,15,number of images,270,343,347,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Brachiopoda,,,,Brachiopods,Medium,0,number of images,107,131,52,0,0,0.018315018,0,0,0.132071475,0,0,0,0,#DIV/0!,#DIV/0!,236,157,0.996818664,0.995215311,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
